2011-10-26 17:37:37 Notice: Notice (8): Undefined variable: isAlreadyRegistred in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 110]
2011-10-26 17:42:55 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 103]
2011-10-26 17:49:32 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 107]
2011-10-26 17:50:09 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 107]
2011-10-26 17:50:37 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 107]
2011-10-26 17:52:15 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 107]
2011-10-26 17:54:04 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 107]
2011-10-26 17:54:17 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 107]
2011-10-26 17:56:37 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 107]
2011-10-26 17:56:39 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 107]
2011-10-26 17:57:31 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 107]
